,ib,nib
eeg.af3,-0.22644740593880566,-0.5167549212825868
eeg.f7,-0.15343722888439823,0.1350177097358457
eeg.f3,0.019081553252879642,0.24712460603453265
eeg.fc5,-0.26320298618810567,0.10840624853901817
eeg.t7,0.18600374023492783,-0.008138162539850113
eeg.p7,0.018926110410810652,0.3124274073265408
eeg.o1,-0.32674933426293296,-0.3230593179254652
eeg.o2,0.11754957570357905,-0.11647382253698202
eeg.p8,0.18338515303158653,0.17180161688014722
eeg.t8,-0.08517122511427824,-0.08818012393830105
eeg.fc6,-0.3063794629691931,-0.4438248948468356
eeg.f4,-0.04419528821872063,-0.07112142573462321
eeg.f8,-0.1149158365299618,-0.2982546990066991
eeg.af4,0.280334500654981,0.16243440146741067
