,ib,nib
eeg.af3,-0.03213874712194605,0.1799929730560196
eeg.f7,-0.2581712430960483,-0.3263510170808654
eeg.f3,-0.11768602327245918,-0.2996340535525205
eeg.fc5,0.010820847462753014,-0.018875199587675626
eeg.t7,0.06328975478418594,-0.19756470649317362
eeg.p7,-0.06269404873400473,0.5975693265642389
eeg.o1,-0.1484966495531567,-0.14670811535496173
eeg.o2,0.20560475876743878,0.04187962347289284
eeg.p8,0.19003967203284383,0.18537703243752457
eeg.t8,0.038158405112615215,0.39285871624344854
eeg.fc6,-0.19348203217613552,-0.22246929297250953
eeg.f4,-0.14254574139626647,0.061550780121555806
eeg.f8,-0.19207289655683998,-0.11648944263228464
eeg.af4,-0.1544390917855483,0.03722432716359109
