,ib,nib
eeg.af3,0.01665350518370835,-0.3918872719266788
eeg.f7,-0.1049502388547118,-0.05358818023410408
eeg.f3,0.19645225520665485,0.4203537072656012
eeg.fc5,-0.3095314475903669,-0.17815144614799286
eeg.t7,-0.0999729179508324,-0.44059601134822013
eeg.p7,-0.08697514490984902,0.376127089848306
eeg.o1,-0.25700612087994135,-0.3216282330945405
eeg.o2,0.008977718630837295,-0.052083573162529075
eeg.p8,0.025767948749554036,0.25164628788810783
eeg.t8,-0.0857233910342313,-0.11552668570593633
eeg.fc6,-0.43430634439492505,-0.24260055418167067
eeg.f4,-0.1128043526493308,0.003733058879224163
eeg.f8,-0.23612577842958854,-0.1678192364502596
eeg.af4,-0.0064163429327517285,0.06609707688569245
