,ib,nib
eeg.af3,0.04363177124152648,0.09589380313048348
eeg.f7,0.4002851925589568,-0.016141618568236246
eeg.f3,0.011320476482101986,-0.025945697807838824
eeg.fc5,0.13118530800771006,-0.00832621897615976
eeg.t7,-0.06742468479446852,0.013459043897737812
eeg.p7,-0.0210476564962459,-0.054757872323831634
eeg.o1,0.0595110569550875,0.04933545758788589
eeg.o2,-0.04443520203161134,0.027660078679966248
eeg.p8,-0.06242412682992046,-0.023695810301327724
eeg.t8,-0.032371913592775754,-0.05721236447720583
eeg.fc6,0.052121180692090915,0.08077611657110713
eeg.f4,0.007703323783803627,0.008825765117013922
eeg.f8,-1.229715503194629,0.09229692274313053
eeg.af4,-0.08610864745102152,-0.022584477166618024
