,related,unrelated
eeg.af3,-0.3516754453847328,-0.213711242327349
eeg.f7,-0.12741044321006334,-0.15123320423731776
eeg.f3,-0.05255442801980166,0.050724165966445287
eeg.fc5,-0.17205922783133681,-0.27783067248997895
eeg.t7,0.19797443898711348,0.23774359798948458
eeg.p7,0.06192270415401616,0.1651781365040733
eeg.o1,-0.27389801002836334,-0.39738227606992327
eeg.o2,0.07059432777558103,0.11336624324231157
eeg.p8,0.29507336912041593,0.24256612992689863
eeg.t8,0.09723544236001513,-0.06081418342852751
eeg.fc6,-0.2532068257685357,-0.34982166793120917
eeg.f4,-0.03828555605852273,-0.0740928914939651
eeg.f8,0.006358885029648686,-0.35035682494965326
eeg.af4,0.22089165116413775,0.2632735072686359
