,related,unrelated
eeg.af3,-0.0013558294161887697,-0.00461325748894228
eeg.f7,-0.2374126152627864,-0.381929873316475
eeg.f3,-0.146761320005576,-0.13138963322248057
eeg.fc5,-0.037843046802474634,-0.0894281932405285
eeg.t7,-0.004543411273398435,-0.04273301172189555
eeg.p7,-0.01576050629052029,0.1697189101450273
eeg.o1,-0.14481534700827586,-0.08371174514152496
eeg.o2,0.18721321093351034,0.2492759790644609
eeg.p8,0.2959544129637294,0.22700521277501765
eeg.t8,0.16128295922922856,0.14512554705691633
eeg.fc6,-0.11198392026097279,-0.3376001586694695
eeg.f4,-0.16215285716921116,-0.06876230908904052
eeg.f8,-0.15561747904501128,-0.22104761586716246
eeg.af4,-0.1903545788946555,-0.1610082341550013
