,related,unrelated
eeg.af3,-0.08584404219925064,-0.07445206564006436
eeg.f7,-0.16178881525238514,-0.13838792408429804
eeg.f3,0.13938151246302893,0.13515664110728715
eeg.fc5,-0.2942051306828338,-0.3353349678485246
eeg.t7,-0.15649104300469294,0.0400554171869895
eeg.p7,-0.013868127614142,0.10988976523422331
eeg.o1,-0.2291681788806958,-0.29248832699001087
eeg.o2,-0.059203681321095304,0.1252858991116959
eeg.p8,0.06507044098543367,0.1672615010646182
eeg.t8,0.025252738144688334,-0.023712237284417525
eeg.fc6,-0.33474623935479475,-0.4423380140262271
eeg.f4,-0.16143493670835757,-0.0933043264605096
eeg.f8,-0.12070258841000651,-0.37933486505123615
eeg.af4,-0.05229805236848887,0.05446958824648318
