timecode,event,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4
0,,-10.657585172888556,-13.127085779144648,-17.014665804606796,-9.71410364669931,-9.127128950373544,-11.244327503109838,-10.536395936940565,-12.241952140498755,-14.046223782846017,-12.382700677126266,-10.230932677586734,-17.00435394059805,-11.46214348865736,-10.985587907594914
250,,-10.442577436837457,-12.85450658080444,-20.83951540879122,-9.359695941074222,-12.439187375895225,-12.168834628745309,-13.63067790734858,-7.77122118944772,-14.46008714651346,-8.011630892876653,-7.145246270618583,-16.49489464433874,-13.396031708208158,-11.622693247488876
500,,-10.353520823796616,-9.850256934972968,-18.564886217403743,-10.245759064735442,-13.015779977509151,-15.476825477351948,-13.464257270751276,-12.393104414224664,-15.00929053498341,-10.004009545193778,-5.991766204694388,-16.412305233744036,-12.362202093246758,-11.460820799398745
750,,-12.652727819195118,-13.414130438579608,-16.85565569034281,-14.57424534360538,-12.345168115758272,-13.101467833081037,-8.271002536133834,-14.98366908821646,-13.129844298932532,-10.058637832556927,-10.30627914952542,-17.317214865011593,-9.486899250022718,-7.2725052655976
1000,,-12.517810730025536,-13.811639871325731,-18.02238205321497,-13.990609867168518,-10.404082156414107,-10.6216838221843,-3.702684392128156,-15.850076013418525,-13.910708999135585,-6.360176798187184,-10.326465648469622,-15.060846488889595,-7.985096298021206,-5.080311393340989
1249,,-12.539399790934311,-11.314118112237685,-16.516446126314545,-9.29129771099044,-9.374273070448352,-12.808922034518533,-7.469991148202593,-18.42643650706916,-14.302865215273345,-8.241798975300885,-11.841031799753958,-13.214676982785106,-10.84222537901996,-5.233840802730897
1499,,-12.3473692243317,-8.593763014570495,-15.044552005503034,-9.767670173052831,-9.988140984182746,-15.050470917599966,-16.173167016299733,-15.95635726902428,-14.136277828117516,-12.596300566945446,-8.169579096016333,-13.464272207927989,-6.318129411062202,-4.878282081668766
1749,,-15.657066263157088,-6.709625578743342,-14.070362753821176,-9.617031786401236,-9.608617852329314,-15.56549095056079,-16.557151142376384,-14.353390408075963,-15.745551609761073,-11.605143730392133,-8.957536622999116,-18.49481801239974,-5.595812145438419,-4.4559934680074855
1999,,-16.30429308503055,-7.733169233480435,-15.780556064884344,-8.986946558925705,-8.38222545481647,-16.775840465303915,-16.102043324918952,-16.233256416330505,-12.602349811086528,-11.456279751381617,-10.035501870671826,-16.671277525411064,-8.662513018600112,-7.696198025570261
2249,,-15.164276965253665,-6.803130860973944,-17.578209411467064,-7.987307086728546,-9.290992071775156,-15.771193122885308,-15.197417300218044,-15.915778036956295,-14.068729898788462,-9.412188627263236,-10.408581148055218,-14.030507098073125,-10.64172092856817,-8.909883555599883
