timecode,event,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4
0,,-8.581995949287407,2.403941216646099,-6.524088070356852,-3.250975738582172,-2.6451295666618133,-3.560545675114554,-1.028812949599971,-7.006648691602591,-4.713505213166051,-1.3035491756994777,-1.432595726102195,-4.396448491512716,-3.660237015074955,-3.336586952628282
250,,-6.302015415874194,-0.096402258812448,-9.692441610551516,4.497658967468045,-2.6127300692546607,-2.184391552915435,-2.622708519000069,-7.452840209327745,-6.1788148639576255,-1.2130179810409434,-0.8438857908147723,-5.66380646222963,-4.235567437787434,-2.721070283578987
500,,-5.386327993202928,0.9579238867500164,-9.557318263181696,3.389922040539588,-1.8992221498806283,-1.7374315965482665,-3.388599781461294,-5.251633669940175,-5.226217154795756,0.9607085664674576,0.1550391922168572,-4.718463415395515,-3.3188603784386013,-1.9555787907317308
750,,-8.208821231912637,0.4792943627742621,-11.291701641725457,-4.714758043765942,0.9708162695494992,-5.399587214891688,-4.06123913153165,-6.997883282541856,-5.571752187716175,0.6805958910618328,0.4049589752300835,-2.456747310816379,-4.515600592854032,-0.8959786244734365
1000,,-8.675017603196743,-1.147377182333003,-9.405727896758766,-4.877931215625983,-0.8448561521220785,-6.74122609017344,-2.9505876245676124,-4.325324125245763,-2.8728400218178987,-3.2199208455937063,0.1001223223254363,-1.8264090241563988,-5.072716400137719,-0.050326108315856
1249,,-7.675818533430664,-2.9152236135321266,-9.41291234608875,-4.735750884424419,-4.616816011320224,-7.974761649533688,-7.175382061205981,-7.097768626906783,-4.872779834299019,-6.020569372789005,-3.151398559935445,-5.347466396959214,-6.904638458341347,-5.87776977827509
1499,,-7.105139769005515,-3.4478018423173653,-15.43233958435656,-4.715915388374774,-4.203134907056973,-5.450576035977093,-5.880778215145264,-8.044235077262572,-4.006815017093476,-4.9337648936714125,-1.6199137377816306,-4.217362147594313,-5.801450396703073,-3.184716819140692
1749,,-7.809235636548083,-4.511490281267991,-16.35139668496148,-7.565264516568096,-5.436416314755136,-4.389005397297304,-5.904571541538309,-5.0843825225313335,-2.8280664188103843,-1.7378933473176352,-4.791687208143739,-6.056383446591317,-5.999099210164776,-4.031244328029643
1999,,-9.364285588157488,-3.4472825671098706,-11.04817958279786,-8.163664331555387,-5.241001288828352,-4.606237961120993,-3.20175683280773,-4.464654376284084,-2.4303834416880084,-2.8705784924029643,-7.219959731489016,-7.3119370846533105,-4.473812732023047,-6.156338296911401
2249,,-9.869622054069488,-3.042875373232253,-10.29080862477354,-10.793726437907036,-3.624656994664047,-3.703364093842846,-2.371936117680545,-6.784845851087633,-2.9313452897132573,-5.450631924119229,-5.500648176987212,-8.848403002389137,-2.0573236585139854,-2.3760359857567157
