timecode,event,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4
0,,-8.088161157157383,0.3582360170132972,-7.657183361074088,-4.665534105745044,-2.3397927923976747,-5.636130201477188,-5.453574521342221,-4.736729846184234,-2.9321749366360272,-4.19491876296034,-4.978739466282555,-4.197168244910215,-2.8562050441939224,-1.3686661174564896
250,,-10.658032309622444,-2.7662437222306044,-8.278023288023729,-4.821631670090399,-2.6436892474916407,-2.9195677346554434,-2.1121444452662628,-4.439733761422081,-0.943347897421144,-5.851654268044388,-5.787755999909489,-4.574090957344983,-1.5520284044742116,-1.4197577988915473
500,,-6.631339742071411,-2.332169437865036,-8.817956170409087,-3.911760685519022,-1.88294568163486,-4.814461496331421,-1.6445044826514668,-7.881114372604742,-3.0982572865294733,-3.5243551792378964,-4.481330197056172,-4.472231923913396,-2.6852889000960656,-2.703797716156209
750,,-8.004905326569691,-2.534008818304601,-11.315492461640163,-3.958167251293833,-2.1239163628402946,-3.7886448027462,-2.135097689120838,-10.505962654843657,-3.860928200145736,-3.056059039720102,-3.9034298164273458,-2.4716676854977218,-5.512387457895754,-2.471783534226555
1000,,-9.613987179976434,-0.9604407378745832,-10.79212693830276,-3.878923903933017,-1.6133664229687383,-4.907640217062465,-4.517870264149195,-9.896011557070294,-2.61485761471954,-2.2331055675279514,-5.554186152800532,-4.37505279179581,-7.122660104171978,-4.9865056081658174
1249,,-7.121991915592619,-0.4583225558959718,-9.75528837633954,-4.491918200667118,-2.714660501800601,-4.216867473814717,-5.047180009038764,-6.291210091262212,-2.7367255160130366,-4.675125335922537,-3.498706455589946,-7.108316841158028,-6.251353020037424,-7.530430167284122
1499,,-7.503723978723733,-0.1387192380855504,-9.185505287407272,-5.470517671141705,-2.631320016379024,-3.874440730927781,-6.2322423526928175,-7.864848780888339,-3.448934002084869,-3.548700961031167,-3.042430420933631,-5.127152890124725,-6.036290597756898,-6.540162022991844
1749,,-8.525590079735858,-1.2364189392071,-12.1176258128441,-7.603521447210682,-3.059191034787365,-4.586862435534185,-8.08827873461891,-6.314024145726425,-4.177487444018711,-2.135309305437132,-4.341317987873571,-4.654529475415987,-4.120556561947223,-5.151565221797436
1999,,-8.730294774044122,-3.3702147370499427,-11.565660853282282,-8.244267449231593,-4.722518295745202,-7.680122917941939,-7.046380429974271,-7.594554298256978,-6.393745602251744,-2.514080969254185,-5.013493194888074,-7.48502684782367,-7.027137441794091,-3.404491991420437
2249,,-10.599407703123855,-2.480116118646127,-6.683752355277949,-3.8263504060104574,-6.041326149580401,-7.177700355953439,-5.841232309503599,-8.19462682817858,-7.766002235069397,-2.9063985652089603,-1.830987483524024,-4.325841079643871,-6.846437400703146,-2.1416549891015806
2499,,-11.58970222859055,1.4671555464814237,-8.091093625004474,-0.200887659282319,-3.615058327531906,-3.5895644329356866,-8.379241998084305,-5.275419988295172,-4.536334538329558,-1.033342077725097,-3.145393028294943,-5.143284508097128,-5.883079739956876,-3.820432551059602
2749,,-10.6283440211616,1.0827882318662354,-11.902307437222222,-4.699729281997175,-1.7263761808463929,-1.1036586859218176,-5.067383607129942,-5.891802734485285,-5.132180255154167,-4.28831450420803,-2.450262146182048,-6.374522693305213,-5.284559030703996,-2.280030217404891
2999,,-9.61847669759489,-2.075351008109588,-9.521499692607584,-6.947811056514109,-2.700417946569462,-4.5355051341779085,-4.058996345341838,-8.673717306653185,-9.373229321938563,-5.692822390579416,-3.295889506851681,-7.471990069906129,-3.7981145363809103,-2.804467093289724
3248,,-7.5334094998416194,0.6989897890464452,-7.626257122712766,0.4377397829008587,-1.148421663825328,-5.945607952792731,-3.751923263500392,-8.621664914330703,-6.5386815151481095,-1.927548090915795,-1.172552509376663,-5.470025687059176,-2.7136853398691656,-0.3123958821312692
3498,,-6.516496343676675,0.591462702383827,-9.034820921760875,5.56011847837172,-1.7739823037966524,-6.4389810290663,-3.0753261258481364,-8.008296575593743,-1.756661180315022,-1.833304263062886,-3.4475038695197027,-3.922248234638907,-0.3122551911938034,1.4275730248410985
3748,,-7.123911319240555,-1.9858153962306215,-11.393422042017132,3.998998121651032,-8.116632591696561,-8.792476438959975,-5.324680519214465,-7.891198910220832,-1.593332575192428,-1.6761494331396949,-2.425839280562289,-5.093429888193103,-0.5307016810139847,-0.3408746353302793
3998,,-10.7066736918007,0.004935574992339,-10.124682177093414,-3.3258618844162093,-3.5858296457948424,-8.2306538059445,-5.085644254852394,-5.755290170569167,-3.941813227960228,-2.7442237972970625,-1.171940604346985,-6.303248463567794,0.0334167876071131,-4.756530334150301
4248,,-8.76629268139056,-1.41594812585319,-11.172013000416891,-2.734004979286571,-1.7199268756494093,-8.281477918369145,-7.123895090702201,-6.122487250486986,-4.290538326035392,-1.8494260046691449,-4.254793613678949,-8.082527330245316,-5.322073312657673,-7.425029810915036
