timecode,event,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4
0,,-13.641741480096384,0.4667619181922051,-5.330221376061425,-5.440675161024585,-5.028363729505711,-6.72823728814952,-4.2196702521251215,-8.503666733201054,-6.113708560319788,3.124677906378816,0.6456762538824952,-7.792923645194878,6.237370840722508,-7.97066851812782
250,,-11.909545212708778,2.2838317396705508,-9.708717803786868,-5.247845744596575,-7.691534051538413,-5.2246588387096455,-3.383453516431106,-6.877253382393792,-5.451548373137842,-1.5860565370540558,2.218188046012779,-11.21546188219118,7.015103736478333,-7.473289029115147
500,,-9.771858431581876,1.977919273362003,-12.740699193882964,-6.130176437016107,-7.103486747825157,-4.510773953297224,-1.5560435160930326,-6.24677877345205,-6.02669898313602,-2.255490106907303,-2.574943101252228,-13.182326203754576,3.029988984055052,-7.955326344193406
750,,-7.723674747573823,3.285895921069446,-12.997497282780245,-5.914051882957992,-5.899835210573274,-5.627460381438231,-3.989012063415069,-3.658897574722208,-4.412143603089182,-1.8131028647099112,-2.426314889935159,-9.075048557469191,0.9724845892982892,-5.47737098336545
1000,,-7.850533410831082,5.8294286711018,-9.422121173061107,-6.700502582276087,-7.164232729130409,-7.677266132097881,-4.392542925342813,-5.72592888385585,-3.46656779222777,-1.4381861088079884,-2.333541824959692,-4.848493965192718,4.080118636484668,-3.928005510771808
1249,,-9.214188242843475,3.3492559913497475,-7.862848858252144,-12.089298549661056,-5.700775900005784,-4.828373737320804,-4.6659955076864055,-5.597379739387083,-4.697925500448637,2.709686855786929,3.2238045142454763,-6.871181286615999,0.2355654447028277,-7.425510244704835
1499,,-8.984664218668396,-1.394429213723354,-8.357087663023037,-9.094928547424509,-5.14970436991756,-2.22196579704862,-4.6229704533991125,-7.737672042016364,-8.205017470635413,0.3530560542659778,4.1676937050728124,-7.451468193473779,6.65543212102113,-9.38085510035759
1749,,-8.770985003419495,0.6255684594885011,-8.975301117273029,-7.160616066634256,-5.676903632341938,-4.060156901016814,-5.274711917128359,-7.359093368029045,-6.648516329095278,-0.0237721945799185,-2.159096643700697,-8.811652702624299,8.073013763846149,-7.157925530340112
1999,,-5.168594806390459,-1.197507752002565,-9.469721201894751,-7.566019031142691,-9.191560803496689,-8.177142541157586,-5.3623690331000295,-10.5886708108104,-11.462321039690266,2.819483441506488,-3.4325547684287354,-8.455530567294199,8.807437322543116,-7.776755230467749
2249,,-4.410038588955181,-1.1336702819148268,-7.986531061379861,-9.182978499295968,-8.030763006332382,-4.384392077533731,-4.693345436132093,-5.160831218242209,-7.226467003487277,5.951176994240203,-0.4668517251009605,-6.809464646331124,5.966316303514906,-8.236680242617998
